Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Health_Status,Health_Label,Action,Block_Name,Tilt_Offset_m,Tilt_Direction,Tilt_Angle_deg,Tilt_Status,Crown_Ellipticity,Crown_Px,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Status,SR_Ref_Corrected,SR_Area_Ha
469,109.22317357633248,-0.4614122212703343,4.07,0.4094922244548797,0.7162,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.28,NW,3.94,Tegak,1.019,15871,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
287,109.22277641637474,-0.4608327070880491,4.06,0.4790230095386505,0.9012,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.135,N,1.9,Tegak,1.265,13412,Healthy,Good,None,OK,398,3.0
433,109.22385013827645,-0.4613039336483881,4.06,0.334069013595581,0.5173,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.743,NW,10.37,Miring Ringan,1.157,13629,Suspect,Critical,Priority Survey,OK,398,3.0
259,109.22303702856314,-0.4607355777790156,4.06,0.4297724962234497,0.77,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.4,N,5.63,Tegak,1.134,14594,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
480,109.22335046744246,-0.4614548145499617,4.05,0.4287231266498565,0.7672,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.231,SE,3.27,Tegak,1.164,14190,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
411,109.2234470507446,-0.4612379234041768,4.05,0.5008370280265808,0.9597,TM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.056,E,0.8,Tegak,1.018,15732,Healthy,Good,None,OK,398,3.0
267,109.22352381531284,-0.4607498829494338,4.01,0.3759582936763763,0.6275,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.005,SW,0.07,Tegak,1.001,16075,Suspect,Critical,Priority Survey,OK,398,3.0
153,109.22383091034315,-0.4603203005391275,4.01,0.2861325144767761,0.392,TM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.505,S,7.17,Miring Ringan,1.193,14494,Suspect,Critical,Priority Survey,OK,398,3.0
548,109.2233334141578,-0.4617263716831914,3.97,0.4907851815223694,0.9327,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.373,S,5.36,Tegak,1.054,15009,Healthy,Good,None,OK,398,3.0
145,109.22405918738067,-0.4603065919970229,3.96,0.5842357873916626,1.0,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.103,NE,1.49,Tegak,1.064,15230,Healthy,Good,None,OK,398,3.0
