Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name
2413,109.24346034574741,-0.42432888338496516,0.0,0.424071338433684,Normal,Normal,Routine,E002A
2414,109.24353025636168,-0.42432608246542564,0.0,0.4416531615773131,Normal,Normal,Routine,E002A
2415,109.2436054034863,-0.42432917337187703,0.0,0.42653642704961103,Normal,Normal,Routine,E002A
2416,109.24368222688491,-0.4243199136903235,0.0,0.4471910678131822,Normal,Normal,Routine,E002A
2417,109.24376573598856,-0.42431929886425523,0.0,0.4308627077153608,Normal,Normal,Routine,E002A
2418,109.2438567024283,-0.4243272748128045,0.0,0.4547316298260501,Normal,Normal,Routine,E002A
2419,109.24391411701963,-0.42432510856638683,0.0,0.4324994570342824,Normal,Normal,Routine,E002A
2420,109.24400145208631,-0.42432359844798356,0.0,0.41616338904390543,Normal,Normal,Routine,E002A
2421,109.24409847209259,-0.4243232390071102,0.0,0.4040404807413178,Normal,Normal,Routine,E002A
2422,109.24417214999794,-0.4243208630597912,0.0,0.3959642883324244,Abnormal,Abnormal,Monitor,E002A
2423,109.24425183155977,-0.4243203196978236,0.0,0.4286944212122843,Normal,Normal,Routine,E002A
2424,109.2444371885212,-0.4243132289107509,0.0,0.404461365124826,Normal,Normal,Routine,E002A
2425,109.24452088223003,-0.42431471300637147,0.0,0.40663405437876976,Normal,Normal,Routine,E002A
2426,109.24460066561248,-0.4243247888993547,0.0,0.41848129300421844,Normal,Normal,Routine,E002A
2427,109.24469253453307,-0.42431030847880075,0.0,0.42184901090537075,Normal,Normal,Routine,E002A
2428,109.24486215962698,-0.4243090839192347,0.0,0.3973009374917573,Abnormal,Abnormal,Monitor,E002A
2429,109.24495342822817,-0.42429187778439664,0.0,0.42777318154369387,Normal,Normal,Routine,E002A
2430,109.2450493908972,-0.4243000085954909,0.0,0.3870419202713637,Abnormal,Abnormal,Monitor,E002A
2431,109.24513495071629,-0.4243038560562129,0.0,0.451611013069579,Normal,Normal,Routine,E002A
2432,109.2452039925219,-0.42429812949682,0.0,0.37938939518812503,Abnormal,Abnormal,Monitor,E002A
2433,109.24308417861275,-0.42427937451092673,0.0,0.4387732274143662,Normal,Normal,Routine,E002A
