Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy
302,109.2335262,-0.44375437,11.13,0.4599531292915344,Normal,Normal,Routine,D009A,0.4599531292915344,Normal,Moderate,Routine,D09
303,109.23246521,-0.44619843,11.12,0.4364147186279297,Normal,Normal,Routine,D009A,0.4364147186279297,Normal,Moderate,Routine,D09
304,109.23337332,-0.44636866,11.12,0.4846336245536804,Healthy,Healthy,,D009A,0.4846336245536804,Healthy,Good,,D09
305,109.23160815,-0.44097455,11.11,0.5131921768188477,Healthy,Healthy,,D009A,0.5131921768188477,Healthy,Good,,D09
306,109.23353977,-0.44334608,11.11,0.4383048713207245,Normal,Normal,Routine,D009A,0.4383048713207245,Normal,Moderate,Routine,D09
307,109.23214616,-0.44310475,11.11,0.4496079981327057,Normal,Normal,Routine,D009A,0.4496079981327057,Normal,Moderate,Routine,D09
308,109.23224584,-0.44512226,11.1,0.4215946197509765,Abnormal,Abnormal,Monitor,D009A,0.4215946197509765,Abnormal,Sub-Optimal,Monitor,D09
309,109.23327287,-0.44757271,11.1,0.5154578685760498,Healthy,Healthy,,D009A,0.5154578685760498,Healthy,Good,,D09
310,109.23203191,-0.44756382,11.09,0.4841733276844024,Healthy,Healthy,,D009A,0.4841733276844024,Healthy,Good,,D09
311,109.23346457,-0.44791955,11.09,0.4402205348014831,Normal,Normal,Routine,D009A,0.4402205348014831,Normal,Moderate,Routine,D09
312,109.23235236,-0.44855952,11.08,0.4255184233188629,Abnormal,Abnormal,Monitor,D009A,0.4255184233188629,Abnormal,Sub-Optimal,Monitor,D09
313,109.23162249,-0.4486448,11.07,0.5084308981895447,Healthy,Healthy,,D009A,0.5084308981895447,Healthy,Good,,D09
314,109.23220694,-0.44245865,11.06,0.5454862117767334,Healthy,Healthy,,D009A,0.5454862117767334,Healthy,Good,,D09
315,109.23233029,-0.44503412,11.06,0.4765829741954803,Healthy,Healthy,,D009A,0.4765829741954803,Healthy,Good,,D09
316,109.23341957,-0.44828216,11.05,0.4429508745670318,Normal,Normal,Routine,D009A,0.4429508745670318,Normal,Moderate,Routine,D09
317,109.23335852,-0.44813791,11.04,0.409384936094284,Abnormal,Abnormal,Monitor,D009A,0.409384936094284,Abnormal,Sub-Optimal,Monitor,D09
318,109.23152639,-0.44105999,11.03,0.4881769716739654,Healthy,Healthy,,D009A,0.4881769716739654,Healthy,Good,,D09
319,109.23352555,-0.44459582,11.02,0.5330496430397034,Healthy,Healthy,,D009A,0.5330496430397034,Healthy,Good,,D09
320,109.23140913,-0.44684837,11.0,0.4890138208866119,Healthy,Healthy,,D009A,0.4890138208866119,Healthy,Good,,D09
321,109.23275323,-0.4437682,11.0,0.4795547425746918,Healthy,Healthy,,D009A,0.4795547425746918,Healthy,Good,,D09
322,109.23352898,-0.44527902,11.0,0.4499672651290893,Normal,Normal,Routine,D009A,0.4499672651290893,Normal,Moderate,Routine,D09
323,109.23347076,-0.44835407,10.99,0.4503179490566253,Normal,Normal,Routine,D009A,0.4503179490566253,Normal,Moderate,Routine,D09
324,109.232033,-0.4411112,10.97,0.4629330635070801,Healthy,Healthy,,D009A,0.4629330635070801,Healthy,Good,,D09
325,109.23153375,-0.44784674,10.97,0.5399929881095886,Healthy,Healthy,,D009A,0.5399929881095886,Healthy,Good,,D09
326,109.23146942,-0.44640934,10.96,0.4016071259975433,Abnormal,Abnormal,Monitor,D009A,0.4016071259975433,Abnormal,Sub-Optimal,Monitor,D09
327,109.23137302,-0.4438375,10.95,0.4093721508979797,Abnormal,Abnormal,Monitor,D009A,0.4093721508979797,Abnormal,Sub-Optimal,Monitor,D09
328,109.23299381,-0.44632607,10.93,0.4867329001426697,Healthy,Healthy,,D009A,0.4867329001426697,Healthy,Good,,D09
329,109.23326326,-0.44834678,10.93,0.4972297549247741,Healthy,Healthy,,D009A,0.4972297549247741,Healthy,Good,,D09
330,109.23176308,-0.44673451,10.92,0.4898864030838012,Healthy,Healthy,,D009A,0.4898864030838012,Healthy,Good,,D09
331,109.23166433,-0.44460034,10.9,0.4317011833190918,Normal,Normal,Routine,D009A,0.4317011833190918,Normal,Moderate,Routine,D09
332,109.23272323,-0.44526481,10.89,0.4449383318424225,Normal,Normal,Routine,D009A,0.4449383318424225,Normal,Moderate,Routine,D09
333,109.23193546,-0.44711436,10.88,0.5268775224685669,Healthy,Healthy,,D009A,0.5268775224685669,Healthy,Good,,D09
334,109.23212513,-0.44084627,10.88,0.4691093862056732,Healthy,Healthy,,D009A,0.4691093862056732,Healthy,Good,,D09
