DIVISI,BLOK_B,Blok,T_TANAM,N_BARIS,N_POKOK,OBJECTID,NDRE125,KlassNDRE12025,NDRE2_26,KLASSNDRE2_26,Ket,Longitude_SR,Latitude_SR,Drone_TreeID,Drone_Lon,Drone_Lat,Drone_Height_m,NDRE_Drone_Rel,NDRE_Drone_Abs,HS_Drone_Rel,HS_Drone_Abs
AME II,D009A,D09,2009,8,12,28622,0.40311850734769483,Stres Sedang,0.4843088831687463,Stres Sedang,Pokok Utama,109.23327118271024,-0.4485277439034657,1134,109.2332731,-0.44851001,8.92,0.517,0.517,Healthy,Good
AME II,D009A,D09,2009,8,15,29568,0.43747663433385786,Stres Sedang,0.4507061369904874,Stres Sedang,Pokok Utama,109.23350219903989,-0.44853314174409864,886,109.23352057,-0.44853494,9.67,0.521,0.521,Healthy,Good
AME II,D009A,D09,2009,9,2,28938,0.4186518106827519,Stres Sedang,0.4545223983668902,Stres Sedang,Pokok Utama,109.23145191036186,-0.4484048379264666,2517,109.23143616,-0.44837889,5.46,0.392,0.392,Healthy,Sub-Optimal
AME II,D009A,D09,2009,9,3,28929,0.4472421406720587,Stres Sedang,0.44486088581743666,Stres Sedang,Pokok Utama,109.2315313097182,-0.44839623567330555,898,109.23153677,-0.44838615,9.63,0.507,0.507,Healthy,Good
AME II,D009A,D09,2009,9,4,28937,0.4608297516736402,Stres Sedang,0.47985254339576866,Stres Sedang,Pokok Utama,109.23160761097937,-0.4483986985482116,255,109.23162973,-0.44842099,12.76,0.418,0.418,Healthy,Sub-Optimal
AME II,D009A,D09,2009,9,6,28935,0.36469348614702873,Stres Berat,0.42405064063582526,Stres Sedang,Pokok Utama,109.23187961536232,-0.4484034950845509,777,109.23189877,-0.44839031,9.99,0.457,0.457,Healthy,Moderate
AME II,D009A,D09,2009,9,7,28931,0.4155877009461766,Stres Sedang,0.47014547961255526,Stres Sedang,Pokok Utama,109.23194907956983,-0.4483960804636775,849,109.23196838,-0.4484152,9.76,0.417,0.417,Healthy,Sub-Optimal
AME II,D009A,D09,2009,9,8,28932,0.409076117034221,Stres Sedang,0.45860352475426813,Stres Sedang,Pokok Utama,109.23204080231008,-0.44841003437338417,392,109.23205955,-0.44843104,11.77,0.498,0.498,Healthy,Good
AME II,D009A,D09,2009,9,10,28936,0.4174516854976233,Stres Sedang,0.4536413173344136,Stres Sedang,Pokok Utama,109.23228574766044,-0.4484055263308392,2313,109.23227335,-0.44840939,6.07,0.448,0.448,Healthy,Moderate
AME II,D009A,D09,2009,9,13,28933,0.40448295431011877,Stres Sedang,0.444530931545598,Stres Sedang,Pokok Utama,109.23261755773271,-0.44842340810110876,1305,109.23261739,-0.44839003,8.47,0.469,0.469,Healthy,Good
AME II,D009A,D09,2009,9,19,28964,0.434646006609398,Stres Sedang,0.46513633769807156,Stres Sedang,Pokok Utama,109.2333968976416,-0.4484717477778033,2295,109.23341279,-0.44845805,6.11,0.468,0.468,Healthy,Good
