Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name
648,109.23147560860673,-0.446845099551629,0.0,0.4928879490095353,Normal,Normal,Routine,D009A
649,109.23182660732236,-0.4468668289842569,0.0,0.4901322114317649,Normal,Normal,Routine,D009A
650,109.23197320232035,-0.4468712801980592,0.0,0.4966747869843532,Normal,Normal,Routine,D009A
651,109.23204792485855,-0.4468606619629062,0.0,0.5077247259696593,Healthy,Healthy,None,D009A
652,109.23211950038704,-0.44684782653077143,0.0,0.4961241897756829,Normal,Normal,Routine,D009A
653,109.23223555073947,-0.44687043134077364,0.0,0.43143541230915733,Normal,Normal,Routine,D009A
654,109.23231257890181,-0.44686085360211275,0.0,0.4197860901117544,Normal,Normal,Routine,D009A
655,109.23239595354622,-0.4468692611631532,0.0,0.435182543425246,Normal,Normal,Routine,D009A
656,109.23250183469723,-0.4468575824950628,0.0,0.4814367852088976,Normal,Normal,Routine,D009A
657,109.23256174334654,-0.4468566285069842,0.0,0.489487801466152,Normal,Normal,Routine,D009A
658,109.2327439252158,-0.44686865096911615,0.0,0.4421944794861944,Normal,Normal,Routine,D009A
659,109.23280573241632,-0.44683555960458776,0.0,0.4659307245224543,Normal,Normal,Routine,D009A
660,109.23285594703576,-0.44686046075309593,0.0,0.44434220367626126,Normal,Normal,Routine,D009A
661,109.23291581210702,-0.4468614835462605,0.0,0.42404383629377634,Normal,Normal,Routine,D009A
662,109.23309192972135,-0.4468361606514379,0.0,0.4521347220428746,Normal,Normal,Routine,D009A
663,109.23309411995515,-0.4468915060160628,0.0,0.4280813570148336,Normal,Normal,Routine,D009A
664,109.23316667857472,-0.44685092604367654,0.0,0.44852910465387963,Normal,Normal,Routine,D009A
665,109.23323089691362,-0.4468547360301641,0.0,0.44407202323947165,Normal,Normal,Routine,D009A
666,109.23334247717503,-0.44687510252091384,0.0,0.4348962067954009,Normal,Normal,Routine,D009A
667,109.2333908868551,-0.446893854915159,0.0,0.47275436024966777,Normal,Normal,Routine,D009A
668,109.23347865221487,-0.44689887241608856,0.0,0.4313273547415063,Normal,Normal,Routine,D009A
669,109.23354849381884,-0.4469061445124528,0.0,0.4559360531747506,Normal,Normal,Routine,D009A
670,109.23139384059711,-0.44676707055112663,0.0,0.47294335847765656,Normal,Normal,Routine,D009A
671,109.23144945974217,-0.4467783199223917,0.0,0.46984910132805235,Normal,Normal,Routine,D009A
672,109.2315065697243,-0.44680957993983533,0.0,0.48764921724339066,Normal,Normal,Routine,D009A
673,109.23166153316704,-0.4468057742376315,0.0,0.5191005348884986,Healthy,Healthy,None,D009A
674,109.23175340154982,-0.4468003390699104,0.0,0.4806272839702956,Normal,Normal,Routine,D009A
675,109.231994859193,-0.44679426102302383,0.0,0.4839670689564008,Normal,Normal,Routine,D009A
676,109.23211842993445,-0.44677524375085764,0.0,0.4408366789722033,Normal,Normal,Routine,D009A
677,109.23227594954187,-0.4468067867319157,0.0,0.4234279410244315,Normal,Normal,Routine,D009A
678,109.23234720565364,-0.44677365516478723,0.0,0.4385462866046544,Normal,Normal,Routine,D009A
679,109.23245662085002,-0.4467872361858338,0.0,0.4604112636120655,Normal,Normal,Routine,D009A
680,109.23254830785042,-0.44680798308745023,0.0,0.48421478685227926,Normal,Normal,Routine,D009A
681,109.23259740960061,-0.4467836241629181,0.0,0.46504374173529567,Normal,Normal,Routine,D009A
682,109.23270502945877,-0.44680726144151767,0.0,0.48142474550905673,Normal,Normal,Routine,D009A
683,109.2327978054383,-0.44678557353567155,0.0,0.5067733171375147,Healthy,Healthy,None,D009A
684,109.23285943259843,-0.44679920175911564,0.0,0.4761061467152567,Normal,Normal,Routine,D009A
685,109.23296732932829,-0.4467995000847558,0.0,0.4644000414375435,Normal,Normal,Routine,D009A
686,109.23303186921417,-0.4467620714573424,0.0,0.48102331420967437,Normal,Normal,Routine,D009A
687,109.23311216324242,-0.44679502271420884,0.0,0.47095133019342533,Normal,Normal,Routine,D009A
688,109.23320941700403,-0.4467888834751201,0.0,0.4835536705838423,Normal,Normal,Routine,D009A
689,109.23326739962796,-0.4467772899476151,0.0,0.4597073705236543,Normal,Normal,Routine,D009A
690,109.2333644087999,-0.446821147470083,0.0,0.4370838151570478,Normal,Normal,Routine,D009A
691,109.23346367626077,-0.44679345296467615,0.0,0.43432623532716935,Normal,Normal,Routine,D009A
692,109.23148508998632,-0.4467018313611428,0.0,0.44717783761536417,Normal,Normal,Routine,D009A
693,109.23156374639528,-0.4466934485982276,0.0,0.4580627988716813,Normal,Normal,Routine,D009A
694,109.23160004896042,-0.44672041449076577,0.0,0.44097197207245653,Normal,Normal,Routine,D009A
695,109.2317440802664,-0.4467286459420487,0.0,0.4345415283336499,Normal,Normal,Routine,D009A
696,109.23177377543892,-0.4467581730140003,0.0,0.483300114228992,Normal,Normal,Routine,D009A
697,109.23198004726385,-0.4467430624531754,0.0,0.4876216911545338,Normal,Normal,Routine,D009A
698,109.23219672122849,-0.4467085943008474,0.0,0.4613106617828058,Normal,Normal,Routine,D009A
699,109.23249941816375,-0.4467193021598103,0.0,0.4677394346759029,Normal,Normal,Routine,D009A
700,109.23266458067164,-0.44671545820351394,0.0,0.471465280913694,Normal,Normal,Routine,D009A
701,109.23274170997675,-0.4467036984059071,0.0,0.44539814472308087,Normal,Normal,Routine,D009A
702,109.23280908061504,-0.44670633537513843,0.0,0.4973534975976136,Normal,Normal,Routine,D009A
703,109.23306868764388,-0.44667531300006214,0.0,0.5029731215435183,Healthy,Healthy,None,D009A
704,109.23311347990705,-0.4467018758368138,0.0,0.49098565250425336,Normal,Normal,Routine,D009A
705,109.23342040145978,-0.44670927043256536,0.0,0.43971062161881574,Normal,Normal,Routine,D009A
706,109.23349596587593,-0.44669805282189007,0.0,0.4554292356591975,Normal,Normal,Routine,D009A
707,109.23141799753238,-0.4466592453213695,0.0,0.4701887622932715,Normal,Normal,Routine,D009A
708,109.23158450773946,-0.44664249648960275,0.0,0.4655637923524072,Normal,Normal,Routine,D009A
709,109.23175346086995,-0.4466386444244254,0.0,0.47561697076604353,Normal,Normal,Routine,D009A
710,109.23200756186058,-0.44665433766287616,0.0,0.4892097540206611,Normal,Normal,Routine,D009A
711,109.23211313123119,-0.4466466441533292,0.0,0.44255935173669964,Normal,Normal,Routine,D009A
712,109.23219256235639,-0.4466441838094839,0.0,0.46177139518558247,Normal,Normal,Routine,D009A
713,109.2322757206205,-0.446667164966098,0.0,0.4123965777868142,Normal,Normal,Routine,D009A
714,109.23238522513927,-0.4466527661354113,0.0,0.4921351980493433,Normal,Normal,Routine,D009A
715,109.23247633290698,-0.4466239899418223,0.0,0.47782337274168046,Normal,Normal,Routine,D009A
716,109.23253629476424,-0.44660334759342174,0.0,0.49867422680639584,Normal,Normal,Routine,D009A
717,109.23263060739622,-0.4466316975513004,0.0,0.48308299059775767,Normal,Normal,Routine,D009A
718,109.23265536802444,-0.4466025670785585,0.0,0.4942387286282521,Normal,Normal,Routine,D009A
719,109.23278692131304,-0.44660791077393225,0.0,0.44220484129490295,Normal,Normal,Routine,D009A
720,109.23295688313821,-0.44659726221760365,0.0,0.4859766366198924,Normal,Normal,Routine,D009A
721,109.23309615654381,-0.4466161921384333,0.0,0.4955449585709808,Normal,Normal,Routine,D009A
722,109.23320313056274,-0.44659851007226276,0.0,0.4830101710280537,Normal,Normal,Routine,D009A
723,109.23334608698748,-0.44661332180536506,0.0,0.4523246577112152,Normal,Normal,Routine,D009A
724,109.23345694551708,-0.4466317095023642,0.0,0.4653817915103238,Normal,Normal,Routine,D009A
725,109.23354229515151,-0.44664539229353656,0.0,0.4795867915133032,Normal,Normal,Routine,D009A
726,109.23139210513385,-0.44657925488431927,0.0,0.4775633815148358,Normal,Normal,Routine,D009A
727,109.23160692936085,-0.44657160955296155,0.0,0.4664450347899074,Normal,Normal,Routine,D009A
728,109.23170519640173,-0.44658379524955866,0.0,0.4949014813392487,Normal,Normal,Routine,D009A
729,109.23179594054658,-0.44656541659241816,0.0,0.44877745266313906,Normal,Normal,Routine,D009A
730,109.23201496682415,-0.4465807775862282,0.0,0.5080635146740973,Healthy,Healthy,None,D009A
731,109.23215160995045,-0.44658871243003145,0.0,0.4736469404539593,Normal,Normal,Routine,D009A
732,109.2322254333514,-0.4465704508413772,0.0,0.43291902406732313,Normal,Normal,Routine,D009A
733,109.2323285302394,-0.44657968065065795,0.0,0.3962950752970999,Abnormal,Abnormal,Monitor,D009A
734,109.2324090295442,-0.44655037287240434,0.0,0.506771452852919,Healthy,Healthy,None,D009A
735,109.23250331685269,-0.44653053371088536,0.0,0.5015910105878644,Healthy,Healthy,None,D009A
736,109.23256091265306,-0.4465061677931525,0.0,0.4854895423069322,Normal,Normal,Routine,D009A
737,109.23260331637351,-0.44654412057546783,0.0,0.47625640126009716,Normal,Normal,Routine,D009A
738,109.23291111519569,-0.446560086310522,0.0,0.48845650024778386,Normal,Normal,Routine,D009A
739,109.23294202538061,-0.44650844030643594,0.0,0.45619371739211,Normal,Normal,Routine,D009A
740,109.23309441975677,-0.44658413526514734,0.0,0.4840128686977479,Normal,Normal,Routine,D009A
741,109.2332120187899,-0.4465240026012969,0.0,0.47467575238475546,Normal,Normal,Routine,D009A
742,109.23338665050579,-0.44655206724570146,0.0,0.3537027209082996,Abnormal,Abnormal,Monitor,D009A
743,109.2335182124261,-0.4465967180501785,0.0,0.47774652700721393,Normal,Normal,Routine,D009A
744,109.23141568066467,-0.4464835904971426,0.0,0.4768461942326297,Normal,Normal,Routine,D009A
745,109.23149764007634,-0.44649747955305136,0.0,0.3480162043753323,Abnormal,Abnormal,Monitor,D009A
746,109.23174138368056,-0.4465068329558596,0.0,0.4319614688664866,Normal,Normal,Routine,D009A
747,109.23182742586162,-0.4465014587575141,0.0,0.4426260387579746,Normal,Normal,Routine,D009A
748,109.23193870259456,-0.44650228691327226,0.0,0.4902292193260947,Normal,Normal,Routine,D009A
749,109.23201076357081,-0.4464802946724039,0.0,0.47545390218679157,Normal,Normal,Routine,D009A
750,109.23207820033036,-0.446499318426691,0.0,0.44045910325152743,Normal,Normal,Routine,D009A
751,109.23219386057586,-0.44649290512240214,0.0,0.4653203136082887,Normal,Normal,Routine,D009A
752,109.23227026117043,-0.44648946016164076,0.0,0.45218489921118576,Normal,Normal,Routine,D009A
753,109.23234998203402,-0.4464736669177949,0.0,0.4801090876426047,Normal,Normal,Routine,D009A
754,109.23241306393966,-0.4464665662725881,0.0,0.4761104299355051,Normal,Normal,Routine,D009A
755,109.23245922522452,-0.44647402252857094,0.0,0.4919346294252373,Normal,Normal,Routine,D009A
756,109.23250874874172,-0.44645138819436575,0.0,0.4668750151795114,Normal,Normal,Routine,D009A
757,109.23263624361374,-0.44646054793894013,0.0,0.45480184511485205,Normal,Normal,Routine,D009A
758,109.23268676567145,-0.4464882380043861,0.0,0.3751460604253403,Abnormal,Abnormal,Monitor,D009A
759,109.23277087746358,-0.4464868196262227,0.0,0.4430452671846486,Normal,Normal,Routine,D009A
760,109.23282950821041,-0.4464619050432565,0.0,0.48518624393798176,Normal,Normal,Routine,D009A
761,109.2329501002401,-0.446462064447251,0.0,0.464160057215293,Normal,Normal,Routine,D009A
762,109.23312928158965,-0.4464867291249849,0.0,0.48036968201754615,Normal,Normal,Routine,D009A
763,109.23328157691562,-0.44648074244993785,0.0,0.4722536257606677,Normal,Normal,Routine,D009A
764,109.23333802161804,-0.4464619503281279,0.0,0.4968213262750209,Normal,Normal,Routine,D009A
765,109.23345032703939,-0.4464662213704037,0.0,0.4610841507933589,Normal,Normal,Routine,D009A
766,109.23349708459826,-0.44647830144394113,0.0,0.46932885606022534,Normal,Normal,Routine,D009A
767,109.23355303252607,-0.4464972898653519,0.0,0.47246561267491427,Normal,Normal,Routine,D009A
768,109.23139670668657,-0.44642638369180593,0.0,0.4763962596654892,Normal,Normal,Routine,D009A
769,109.23170956645141,-0.4464260923152833,0.0,0.46698197584435897,Normal,Normal,Routine,D009A
770,109.23186893434179,-0.4464251416045346,0.0,0.44133010069407513,Normal,Normal,Routine,D009A
771,109.23204257280041,-0.44642536360160723,0.0,0.47622484418650135,Normal,Normal,Routine,D009A
772,109.23215158455467,-0.4464092681807719,0.0,0.44885541495916814,Normal,Normal,Routine,D009A
773,109.2322192429768,-0.44642167524238574,0.0,0.4629873280236326,Normal,Normal,Routine,D009A
774,109.2323002615282,-0.4464222265822224,0.0,0.42574738154550057,Normal,Normal,Routine,D009A
775,109.23290907555969,-0.44640820901580064,0.0,0.4784805668670023,Normal,Normal,Routine,D009A
776,109.23308747449595,-0.4464366941576663,0.0,0.4391767724695033,Normal,Normal,Routine,D009A
777,109.23317178405291,-0.44641592927201684,0.0,0.48390457923337016,Normal,Normal,Routine,D009A
778,109.23325866135562,-0.44644206189304747,0.0,0.510258686001813,Healthy,Healthy,None,D009A
779,109.23339455862536,-0.4464139692977584,0.0,0.4840865744121377,Normal,Normal,Routine,D009A
780,109.2313988458416,-0.44632332962254334,0.0,0.4697447770695184,Normal,Normal,Routine,D009A
781,109.2315756595491,-0.44635777641648494,0.0,0.47159067326954013,Normal,Normal,Routine,D009A
782,109.23176886566884,-0.446355270365772,0.0,0.4890906379541005,Normal,Normal,Routine,D009A
783,109.23191099625288,-0.4463596915215952,0.0,0.4777170453152042,Normal,Normal,Routine,D009A
784,109.23208664247667,-0.44635186213429145,0.0,0.46654799019782556,Normal,Normal,Routine,D009A
785,109.23250078413183,-0.44637464486652967,0.0,0.4535107774602855,Normal,Normal,Routine,D009A
786,109.23258097841114,-0.4463399609519092,0.0,0.4504583381248703,Normal,Normal,Routine,D009A
787,109.23268877747331,-0.4463805239863371,0.0,0.45537962618778993,Normal,Normal,Routine,D009A
788,109.23273761559379,-0.4463692565006055,0.0,0.492510481049681,Normal,Normal,Routine,D009A
789,109.23285393263824,-0.44634351125839,0.0,0.3628996747346023,Abnormal,Abnormal,Monitor,D009A
790,109.2329672727049,-0.44636714989486426,0.0,0.4358062394573366,Normal,Normal,Routine,D009A
791,109.23312341513629,-0.4463506127976324,0.0,0.4537513726559141,Normal,Normal,Routine,D009A
792,109.23320516907896,-0.44638642378029053,0.0,0.5039960020236045,Healthy,Healthy,None,D009A
793,109.23329854140947,-0.4463614542881621,0.0,0.5059931255107056,Healthy,Healthy,None,D009A
794,109.23337766739871,-0.4463580334793086,0.0,0.48554304173591495,Normal,Normal,Routine,D009A
795,109.23344271778475,-0.4463532971283347,0.0,0.4706457028725396,Normal,Normal,Routine,D009A
