Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Height_Class,Health_Status,Health_Label,Action,Block_Name,Classification_Abs,Health_Status_Abs,Action_Abs,Was_Reclassified
160,109.22961424633402,-0.4472773569382369,8.48,0.4862178564071655,0.7445,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
61,109.22686861464908,-0.4457532068537547,8.48,0.4960902631282806,0.8026,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
898,109.22555376546585,-0.4460010568837132,8.46,0.379071444272995,0.1188,TM,TM_Muda,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
164,109.2307783737458,-0.4473281926954425,8.46,0.457442969083786,0.5757,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
91,109.2251839606327,-0.4460859879202822,8.45,0.403585821390152,0.2613,TM,TM_Dewasa,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
80,109.22233757219028,-0.4459336375426398,8.42,0.3778345882892608,0.1117,TM,TM_Dewasa,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
822,109.23099328470802,-0.4458897799110237,8.38,0.4117127358913421,0.3086,TM,TM_Muda,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
344,109.2297791002988,-0.4451656582828311,8.33,0.4337604939937591,0.4372,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
257,109.222999738629,-0.4450675063094443,8.3,0.4763838946819305,0.6867,TM,TM_Muda,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
106,109.23063025371454,-0.4462803294330547,8.3,0.4612325727939605,0.5979,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Healthy,Good,None,False
58,109.23049114906786,-0.4457127226572138,8.28,0.4616909325122833,0.6006,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Healthy,Good,None,False
1458,109.2232389631167,-0.4469449140488188,8.28,0.3458223640918731,0.0,TM,TM_Muda,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
124,109.22356316001142,-0.4466738457655456,8.26,0.3863731622695923,0.1612,TM,TM_Dewasa,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Suspect,Critical,Priority Survey,False
338,109.22268243289876,-0.4451593435994187,8.25,0.4924622774124145,0.7812,TM,TM_Muda,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
121,109.22550111812522,-0.4466145728519251,8.25,0.4476604759693146,0.5184,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
16,109.22300201794536,-0.4450812940066271,8.21,0.5197532773017883,0.942,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
