Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy
1475,109.23341611,-0.42639578,3.24,0.332,Kenthosan,Abnormal,Field_Verification,D001A,0.3934184610843658,Abnormal,Sub-Optimal,Monitor,D01
1476,109.23223354,-0.42440651,3.23,0.333,Kenthosan,Abnormal,Field_Verification,D001A,0.3943736553192138,Abnormal,Sub-Optimal,Monitor,D01
1477,109.23212292,-0.4250092,3.23,0.355,Kenthosan,Abnormal,Field_Verification,D001A,0.4232422411441803,Abnormal,Sub-Optimal,Monitor,D01
1478,109.23330147,-0.42690307,3.22,0.433,Kenthosan,Abnormal,Field_Verification,D001A,0.4858781695365906,Healthy,Good,,D01
1479,109.23286419,-0.42215495,3.21,0.42,TBM,Healthy,,D001A,0.4783880710601806,Healthy,Good,,D01
1480,109.23325343,-0.42484894,3.21,0.522,TBM,Healthy,,D001A,0.5729080438613892,Healthy,Good,,D01
1481,109.23287943,-0.42228608,3.21,0.355,Kenthosan,Abnormal,Field_Verification,D001A,0.416709154844284,Abnormal,Sub-Optimal,Monitor,D01
1482,109.23149985,-0.42158403,3.18,0.427,TBM,Healthy,,D001A,0.4846852719783783,Healthy,Good,,D01
1483,109.23321259,-0.42666838,3.18,0.303,TBM,Healthy,,D001A,0.3652762174606323,Suspect,Critical,Priority Survey,D01
1484,109.23198145,-0.42301609,3.18,0.379,Kenthosan,Abnormal,Field_Verification,D001A,0.439769983291626,Normal,Moderate,Routine,D01
1485,109.23144507,-0.42152162,3.16,0.527,TBM,Healthy,,D001A,0.5773445963859558,Healthy,Good,,D01
1486,109.23304055,-0.42677912,3.16,0.388,Kenthosan,Abnormal,Field_Verification,D001A,0.4414813220500946,Normal,Moderate,Routine,D01
1487,109.2326126,-0.42447216,3.16,0.411,Kenthosan,Abnormal,Field_Verification,D001A,0.4747824072837829,Healthy,Good,,D01
1488,109.23328056,-0.4279733,3.15,0.404,Kenthosan,Abnormal,Field_Verification,D001A,0.4563310444355011,Normal,Moderate,Routine,D01
1489,109.23303051,-0.4235363,3.15,0.397,TBM,Healthy,,D001A,0.4570538699626922,Normal,Moderate,Routine,D01
1490,109.23232087,-0.4274929,3.15,0.373,Kenthosan,Abnormal,Field_Verification,D001A,0.4406164586544037,Normal,Moderate,Routine,D01
1491,109.23305681,-0.42242493,3.14,0.394,TBM,Healthy,,D001A,0.4538727700710296,Normal,Moderate,Routine,D01
1492,109.23162721,-0.42244404,3.13,0.359,Kenthosan,Abnormal,Field_Verification,D001A,0.4218210875988006,Abnormal,Sub-Optimal,Monitor,D01
1493,109.23265785,-0.42297782,3.11,0.383,Kenthosan,Abnormal,Field_Verification,D001A,0.4453295171260834,Normal,Moderate,Routine,D01
1494,109.23254446,-0.42783251,3.11,0.361,TBM,Healthy,,D001A,0.4207837283611297,Abnormal,Sub-Optimal,Monitor,D01
1495,109.2325169,-0.42460823,3.11,0.385,TBM,Healthy,,D001A,0.4501057267189026,Normal,Moderate,Routine,D01
1496,109.23313627,-0.42455231,3.1,0.317,TBM,Healthy,,D001A,0.3789733946323395,Suspect,Critical,Priority Survey,D01
1497,109.23279809,-0.42446949,3.08,0.355,TBM,Healthy,,D001A,0.416858434677124,Abnormal,Sub-Optimal,Monitor,D01
1498,109.23249142,-0.42607726,3.07,0.309,Kenthosan,Abnormal,Field_Verification,D001A,0.3749689161777496,Suspect,Critical,Priority Survey,D01
1499,109.23283435,-0.42699068,3.07,0.279,Kenthosan,Abnormal,Field_Verification,D001A,0.3485093712806701,Suspect,Critical,Priority Survey,D01
1500,109.23148428,-0.42684206,3.06,0.416,Kenthosan,Abnormal,Field_Verification,D001A,0.476145327091217,Healthy,Good,,D01
1501,109.23264434,-0.42314601,3.05,0.415,Kenthosan,Abnormal,Field_Verification,D001A,0.473994642496109,Healthy,Good,,D01
1502,109.23332172,-0.42672493,3.04,0.321,Kenthosan,Abnormal,Field_Verification,D001A,0.3828870952129364,Suspect,Critical,Priority Survey,D01
1503,109.23276868,-0.42739443,3.03,0.34,TBM,Healthy,,D001A,0.4016200006008148,Abnormal,Sub-Optimal,Monitor,D01
1504,109.23166198,-0.42160848,3.03,0.37,Kenthosan,Abnormal,Field_Verification,D001A,0.4301275908946991,Normal,Moderate,Routine,D01
1505,109.23243204,-0.42647966,3.03,0.419,Kenthosan,Abnormal,Field_Verification,D001A,0.4831302165985107,Healthy,Good,,D01
1506,109.23203825,-0.42800376,3.02,0.411,Kenthosan,Abnormal,Field_Verification,D001A,0.4684416055679321,Healthy,Good,,D01
1507,109.23184852,-0.42294236,3.02,0.287,Kenthosan,Abnormal,Field_Verification,D001A,0.3504668176174164,Suspect,Critical,Priority Survey,D01
1508,109.23299008,-0.42553389,3.02,0.326,TBM,Healthy,,D001A,0.3902893662452698,Abnormal,Sub-Optimal,Monitor,D01
1509,109.23342525,-0.42374122,3.01,0.375,TBM,Healthy,,D001A,0.4365493357181549,Normal,Moderate,Routine,D01
1510,109.23161042,-0.42318014,3.01,0.433,Kenthosan,Abnormal,Field_Verification,D001A,0.4906804263591766,Healthy,Good,,D01
1511,109.23321398,-0.42453288,3.01,0.458,TBM,Healthy,,D001A,0.5143094062805176,Healthy,Good,,D01
1512,109.23149574,-0.42188742,3.01,0.438,TBM,Healthy,,D001A,0.4952523410320282,Healthy,Good,,D01
1513,109.23298899,-0.42437639,3.0,0.401,Kenthosan,Abnormal,Field_Verification,D001A,0.457054853439331,Normal,Moderate,Routine,D01
1514,109.23297765,-0.43076706,2.99,0.355,Kenthosan,Abnormal,Field_Verification,D001A,0.4174346923828125,Abnormal,Sub-Optimal,Monitor,D01
1515,109.23289548,-0.42282685,2.99,0.358,TBM,Healthy,,D001A,0.4200290739536285,Abnormal,Sub-Optimal,Monitor,D01
1516,109.23229545,-0.42866079,2.98,0.431,Kenthosan,Abnormal,Field_Verification,D001A,0.4835300743579864,Healthy,Good,,D01
1517,109.23325248,-0.42507231,2.97,0.329,Kenthosan,Abnormal,Field_Verification,D001A,0.3881353139877319,Suspect,Critical,Priority Survey,D01
1518,109.2329376,-0.42326138,2.95,0.326,Kenthosan,Abnormal,Field_Verification,D001A,0.3896138072013855,Suspect,Critical,Priority Survey,D01
1519,109.23274961,-0.42437678,2.92,0.448,Kenthosan,Abnormal,Field_Verification,D001A,0.5075191259384155,Healthy,Good,,D01
1520,109.23230917,-0.42560472,2.92,0.44,Kenthosan,Abnormal,Field_Verification,D001A,0.4934832453727722,Healthy,Good,,D01
1521,109.2332102,-0.42728692,2.91,0.286,Kenthosan,Abnormal,Field_Verification,D001A,0.3510469794273376,Suspect,Critical,Priority Survey,D01
1522,109.23156131,-0.42585639,2.91,0.514,Kenthosan,Abnormal,Field_Verification,D001A,0.5658526420593262,Healthy,Good,,D01
1523,109.23275238,-0.42402999,2.9,0.366,Kenthosan,Abnormal,Field_Verification,D001A,0.4286119937896728,Abnormal,Sub-Optimal,Monitor,D01
1524,109.23215504,-0.42397152,2.9,0.432,Kenthosan,Abnormal,Field_Verification,D001A,0.4896211624145508,Healthy,Good,,D01
1525,109.2329764,-0.42248279,2.86,0.394,Kenthosan,Abnormal,Field_Verification,D001A,0.4547131359577179,Normal,Moderate,Routine,D01
1526,109.23315332,-0.42857146,2.85,0.315,Kenthosan,Abnormal,Field_Verification,D001A,0.376932680606842,Suspect,Critical,Priority Survey,D01
1527,109.23295954,-0.42354985,2.84,0.394,TBM,Healthy,,D001A,0.4534749984741211,Normal,Moderate,Routine,D01
1528,109.2317034,-0.42512711,2.83,0.261,Kenthosan,Abnormal,Field_Verification,D001A,0.3279949128627777,Suspect,Critical,Priority Survey,D01
1529,109.23247385,-0.4262979,2.82,0.353,TBM,Healthy,,D001A,0.4162599444389343,Abnormal,Sub-Optimal,Monitor,D01
1530,109.23295204,-0.42296251,2.8,0.357,Kenthosan,Abnormal,Field_Verification,D001A,0.4199218451976776,Abnormal,Sub-Optimal,Monitor,D01
1531,109.23295525,-0.42464993,2.8,0.434,TBM,Healthy,,D001A,0.490640252828598,Healthy,Good,,D01
1532,109.23316074,-0.42359014,2.79,0.377,TBM,Healthy,,D001A,0.4402541518211365,Normal,Moderate,Routine,D01
1533,109.23318521,-0.42464501,2.78,0.491,Kenthosan,Abnormal,Field_Verification,D001A,0.5499300360679626,Healthy,Good,,D01
1534,109.23302484,-0.42867814,2.77,0.329,Kenthosan,Abnormal,Field_Verification,D001A,0.3894548714160919,Suspect,Critical,Priority Survey,D01
1535,109.23278771,-0.42668275,2.74,0.329,Kenthosan,Abnormal,Field_Verification,D001A,0.3893938362598419,Suspect,Critical,Priority Survey,D01
1536,109.23274711,-0.42746632,2.73,0.472,TBM,Healthy,,D001A,0.5155745148658752,Healthy,Good,,D01
1537,109.23174028,-0.42294098,2.72,0.389,TBM,Healthy,,D001A,0.451679527759552,Normal,Moderate,Routine,D01
1538,109.23177022,-0.42358349,2.7,0.326,Kenthosan,Abnormal,Field_Verification,D001A,0.3922939896583557,Abnormal,Sub-Optimal,Monitor,D01
1539,109.23222191,-0.42222308,2.69,0.414,Kenthosan,Abnormal,Field_Verification,D001A,0.4725215435028076,Healthy,Good,,D01
1540,109.23259396,-0.42546507,2.66,0.326,Kenthosan,Abnormal,Field_Verification,D001A,0.3885980546474457,Suspect,Critical,Priority Survey,D01
1541,109.2323513,-0.42403668,2.66,0.329,TBM,Healthy,,D001A,0.3959640860557556,Abnormal,Sub-Optimal,Monitor,D01
1542,109.2327297,-0.42698387,2.65,0.363,TBM,Healthy,,D001A,0.4190852046012878,Abnormal,Sub-Optimal,Monitor,D01
1543,109.23289993,-0.4269396,2.65,0.397,Kenthosan,Abnormal,Field_Verification,D001A,0.4571607112884521,Normal,Moderate,Routine,D01
1544,109.23250947,-0.42766159,2.62,0.405,Kenthosan,Abnormal,Field_Verification,D001A,0.4602584838867187,Healthy,Good,,D01
1545,109.23177549,-0.42410844,2.62,0.309,Kenthosan,Abnormal,Field_Verification,D001A,0.3739230930805206,Suspect,Critical,Priority Survey,D01
1546,109.23333135,-0.42387142,2.62,0.303,TBM,Healthy,,D001A,0.366829365491867,Suspect,Critical,Priority Survey,D01
1547,109.23316863,-0.42445465,2.6,0.475,TBM,Healthy,,D001A,0.5308635234832764,Healthy,Good,,D01
1548,109.23201786,-0.42287051,2.58,0.328,Kenthosan,Abnormal,Field_Verification,D001A,0.3928640186786651,Abnormal,Sub-Optimal,Monitor,D01
1549,109.23271162,-0.42552297,2.56,0.399,Kenthosan,Abnormal,Field_Verification,D001A,0.4691633284091949,Healthy,Good,,D01
1550,109.23248307,-0.42325585,2.54,0.312,TBM,Healthy,,D001A,0.377624899148941,Suspect,Critical,Priority Survey,D01
1551,109.23282685,-0.42439624,2.45,0.399,TBM,Healthy,,D001A,0.460202157497406,Healthy,Good,,D01
1552,109.23190751,-0.42422738,2.43,0.335,Kenthosan,Abnormal,Field_Verification,D001A,0.3990330100059509,Abnormal,Sub-Optimal,Monitor,D01
1553,109.23311986,-0.42561214,2.41,0.354,TBM,Healthy,,D001A,0.4151672422885895,Abnormal,Sub-Optimal,Monitor,D01
1554,109.23245172,-0.42685087,2.4,0.341,Kenthosan,Abnormal,Field_Verification,D001A,0.4060732424259186,Abnormal,Sub-Optimal,Monitor,D01
1555,109.23236237,-0.42276885,2.35,0.363,TBM,Healthy,,D001A,0.4237296879291534,Abnormal,Sub-Optimal,Monitor,D01
1556,109.23196378,-0.42366492,2.34,0.354,Kenthosan,Abnormal,Field_Verification,D001A,0.4169792532920837,Abnormal,Sub-Optimal,Monitor,D01
1557,109.23334306,-0.42373532,2.34,0.35,TBM,Healthy,,D001A,0.4165536165237427,Abnormal,Sub-Optimal,Monitor,D01
1558,109.23301193,-0.43013587,2.32,0.311,Kenthosan,Abnormal,Field_Verification,D001A,0.3721772134304046,Suspect,Critical,Priority Survey,D01
1559,109.23224891,-0.42594156,2.32,0.296,Kenthosan,Abnormal,Field_Verification,D001A,0.3572856187820434,Suspect,Critical,Priority Survey,D01
1560,109.23257347,-0.4246928,2.25,0.363,TBM,Healthy,,D001A,0.4257945120334625,Abnormal,Sub-Optimal,Monitor,D01
1561,109.23167945,-0.42179793,2.2,0.313,TBM,Healthy,,D001A,0.3772577941417694,Suspect,Critical,Priority Survey,D01
1562,109.23284392,-0.42635089,2.16,0.478,Kenthosan,Abnormal,Field_Verification,D001A,0.5450139045715332,Healthy,Good,,D01
1563,109.23325641,-0.42555384,2.14,0.326,TBM,Healthy,,D001A,0.3889643251895904,Suspect,Critical,Priority Survey,D01
1564,109.2329694,-0.42561708,2.09,0.43,TBM,Healthy,,D001A,0.48822882771492,Healthy,Good,,D01
1565,109.23228441,-0.42587826,2.01,0.365,TBM,Healthy,,D001A,0.4244813323020935,Abnormal,Sub-Optimal,Monitor,D01
1566,109.23268736,-0.4275183,2.01,0.392,TBM,Healthy,,D001A,0.4582636654376983,Normal,Moderate,Routine,D01
1567,109.23316297,-0.42367695,1.99,0.407,TBM,Healthy,,D001A,0.4648309648036957,Healthy,Good,,D01
1568,109.23293592,-0.426676,1.93,0.346,Kenthosan,Abnormal,Field_Verification,D001A,0.4060873687267303,Abnormal,Sub-Optimal,Monitor,D01
1569,109.23259823,-0.4264069,1.88,0.308,TBM,Healthy,,D001A,0.3713114857673645,Suspect,Critical,Priority Survey,D01
1570,109.23303447,-0.42187828,1.42,0.258,Kenthosan,Abnormal,Field_Verification,D001A,,Healthy,Good,,D01
1571,109.23263065,-0.42998159,1.35,0.325,Kenthosan,Abnormal,Field_Verification,D001A,0.3849878013134002,Suspect,Critical,Priority Survey,D01
1572,109.23157199,-0.43019431,0.89,0.353,Kenthosan,Abnormal,Field_Verification,D001A,0.4132033288478851,Abnormal,Sub-Optimal,Monitor,D01
1573,109.23190004,-0.42150409,0.55,0.301,Kenthosan,Abnormal,Field_Verification,D001A,,Healthy,Good,,D01
