Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Reclassified,Was_TBM
349,109.23217269,-0.44107778,12.07,0.425,TM,Healthy,,D009A,0.425,Abnormal,Sub-Optimal,Monitor,D09,original,False
350,109.23234737,-0.44119719,12.07,0.438,TM,Healthy,,D009A,0.438,Normal,Moderate,Routine,D09,original,False
351,109.23170701,-0.44267872,12.06,0.434,TM,Healthy,,D009A,0.434,Normal,Moderate,Routine,D09,original,False
352,109.23323589,-0.4463415,12.06,0.471,TM,Healthy,,D009A,0.471,Healthy,Good,None,D09,original,False
353,109.23233614,-0.44309982,12.05,0.558,TM,Healthy,,D009A,0.558,Healthy,Good,None,D09,original,False
354,109.2321664,-0.44299172,12.05,0.388,TM,Healthy,,D009A,0.388,Suspect,Critical,Priority Survey,D09,original,False
355,109.2323999,-0.44320429,12.03,0.503,TM,Healthy,,D009A,0.503,Healthy,Good,None,D09,original,False
356,109.23175084,-0.44156193,12.03,0.477,TM,Healthy,,D009A,0.477,Healthy,Good,None,D09,original,False
357,109.23169697,-0.44709983,12.03,0.438,TM,Healthy,,D009A,0.438,Normal,Moderate,Routine,D09,original,False
358,109.23201771,-0.44872312,12.01,0.443,TM,Healthy,,D009A,0.443,Normal,Moderate,Routine,D09,original,False
359,109.23140815,-0.44718974,12.0,0.392,TM,Healthy,,D009A,0.392,Abnormal,Sub-Optimal,Monitor,D09,original,False
360,109.23246769,-0.44518833,12.0,0.479,TM,Healthy,,D009A,0.479,Healthy,Good,None,D09,original,False
361,109.23195578,-0.44854089,11.99,0.421,TM,Healthy,,D009A,0.421,Abnormal,Sub-Optimal,Monitor,D09,original,False
362,109.23218978,-0.44478269,11.99,0.442,TM,Healthy,,D009A,0.442,Normal,Moderate,Routine,D09,original,False
363,109.23344601,-0.44098313,11.99,0.43,TM,Healthy,,D009A,0.43,Normal,Moderate,Routine,D09,original,False
364,109.23166014,-0.44145384,11.98,0.439,TM,Healthy,,D009A,0.439,Normal,Moderate,Routine,D09,original,False
365,109.23350983,-0.44079641,11.97,0.517,TM,Healthy,,D009A,0.517,Healthy,Good,None,D09,original,False
366,109.23151952,-0.44161703,11.96,0.452,TM,Healthy,,D009A,0.452,Normal,Moderate,Routine,D09,original,False
367,109.23239628,-0.44896421,11.96,0.5,TM,Healthy,,D009A,0.5,Healthy,Good,None,D09,original,False
368,109.23167903,-0.44884602,11.94,0.425,TM,Healthy,,D009A,0.425,Abnormal,Sub-Optimal,Monitor,D09,original,False
369,109.23187446,-0.44864803,11.94,0.398,TM,Healthy,,D009A,0.398,Abnormal,Sub-Optimal,Monitor,D09,original,False
370,109.23188891,-0.44455021,11.94,0.445,TM,Healthy,,D009A,0.445,Normal,Moderate,Routine,D09,original,False
371,109.23321216,-0.44603222,11.93,0.507,TM,Healthy,,D009A,0.507,Healthy,Good,None,D09,original,False
372,109.23209239,-0.4444639,11.92,0.496,TM,Healthy,,D009A,0.496,Healthy,Good,None,D09,original,False
373,109.23218304,-0.44099413,11.92,0.461,TM,Healthy,,D009A,0.461,Healthy,Good,None,D09,original,False
374,109.23210443,-0.44105108,11.92,0.491,TM,Healthy,,D009A,0.491,Healthy,Good,None,D09,original,False
375,109.23238434,-0.44253601,11.91,0.46,TM,Healthy,,D009A,0.46,Healthy,Good,None,D09,original,False
376,109.2324773,-0.44064017,11.91,0.543,TM,Healthy,,D009A,0.543,Healthy,Good,None,D09,original,False
377,109.23272975,-0.44618945,11.9,0.467,TM,Healthy,,D009A,0.467,Healthy,Good,None,D09,original,False
378,109.23140705,-0.44806329,11.89,0.474,TM,Healthy,,D009A,0.474,Healthy,Good,None,D09,original,False
379,109.23309485,-0.44637809,11.89,0.412,TM,Healthy,,D009A,0.412,Abnormal,Sub-Optimal,Monitor,D09,original,False
380,109.23216369,-0.4411257,11.88,0.403,TM,Healthy,,D009A,0.403,Abnormal,Sub-Optimal,Monitor,D09,original,False
381,109.2315893,-0.44090582,11.87,0.417,TM,Healthy,,D009A,0.417,Abnormal,Sub-Optimal,Monitor,D09,original,False
382,109.23290536,-0.44621255,11.87,0.5,TM,Healthy,,D009A,0.5,Healthy,Good,None,D09,original,False
383,109.23237668,-0.44262417,11.86,0.497,TM,Healthy,,D009A,0.497,Healthy,Good,None,D09,original,False
384,109.23221761,-0.44103167,11.86,0.419,TM,Healthy,,D009A,0.419,Abnormal,Sub-Optimal,Monitor,D09,original,False
385,109.23159995,-0.44714276,11.85,0.413,TM,Healthy,,D009A,0.413,Abnormal,Sub-Optimal,Monitor,D09,original,False
386,109.231672,-0.44822929,11.83,0.467,TM,Healthy,,D009A,0.467,Healthy,Good,None,D09,original,False
387,109.23182671,-0.44170211,11.82,0.5,TM,Healthy,,D009A,0.5,Healthy,Good,None,D09,original,False
388,109.23243899,-0.44312698,11.82,0.465,TM,Healthy,,D009A,0.465,Healthy,Good,None,D09,original,False
389,109.23137538,-0.44713728,11.82,0.138,TM,Suspect,Circle_5m,D009A,0.138,Suspect,Critical,Priority Survey,D09,original,False
390,109.23173212,-0.44470707,11.8,0.432,TM,Healthy,,D009A,0.432,Normal,Moderate,Routine,D09,original,False
391,109.23235057,-0.44474429,11.79,0.48,TM,Healthy,,D009A,0.48,Healthy,Good,None,D09,original,False
392,109.23205955,-0.44843104,11.77,0.498,TM,Healthy,,D009A,0.498,Healthy,Good,None,D09,original,False
393,109.232871,-0.447139,11.77,0.39,TM,Healthy,,D009A,0.39,Abnormal,Sub-Optimal,Monitor,D09,original,False
394,109.23183203,-0.44763611,11.76,0.446,TM,Healthy,,D009A,0.446,Normal,Moderate,Routine,D09,original,False
395,109.23194364,-0.44857842,11.75,0.423,TM,Healthy,,D009A,0.423,Abnormal,Sub-Optimal,Monitor,D09,original,False
396,109.23141043,-0.447055,11.73,0.365,TM,Suspect,Circle_5m,D009A,0.365,Suspect,Critical,Priority Survey,D09,original,False
397,109.23305975,-0.44667152,11.71,0.426,TM,Healthy,,D009A,0.426,Abnormal,Sub-Optimal,Monitor,D09,original,False
398,109.23237251,-0.44317037,11.71,0.343,TM,Suspect,Circle_5m,D009A,0.343,Suspect,Critical,Priority Survey,D09,original,False
399,109.23236913,-0.44034806,11.7,0.516,TM,Healthy,,D009A,0.516,Healthy,Good,None,D09,original,False
400,109.2318431,-0.44831795,11.68,0.516,TM,Healthy,,D009A,0.516,Healthy,Good,None,D09,original,False
401,109.2317518,-0.44880625,11.68,0.447,TM,Healthy,,D009A,0.447,Normal,Moderate,Routine,D09,original,False
402,109.23177472,-0.44874612,11.68,0.38,TM,Healthy,,D009A,0.38,Suspect,Critical,Priority Survey,D09,original,False
403,109.23336195,-0.44881478,11.68,0.388,TM,Healthy,,D009A,0.388,Suspect,Critical,Priority Survey,D09,original,False
404,109.23348385,-0.44620365,11.67,0.411,TM,Healthy,,D009A,0.411,Abnormal,Sub-Optimal,Monitor,D09,original,False
405,109.23202283,-0.44042846,11.65,0.383,TM,Healthy,,D009A,0.383,Suspect,Critical,Priority Survey,D09,original,False
406,109.23209691,-0.44433097,11.65,0.552,TM,Healthy,,D009A,0.552,Healthy,Good,None,D09,original,False
407,109.23272078,-0.44614966,11.64,0.426,TM,Healthy,,D009A,0.426,Abnormal,Sub-Optimal,Monitor,D09,original,False
408,109.23236266,-0.44300895,11.63,0.389,TM,Healthy,,D009A,0.389,Suspect,Critical,Priority Survey,D09,original,False
409,109.2320561,-0.44220541,11.62,0.493,TM,Healthy,,D009A,0.493,Healthy,Good,None,D09,original,False
410,109.23138106,-0.44401791,11.62,0.522,TM,Healthy,,D009A,0.522,Healthy,Good,None,D09,original,False
411,109.23165441,-0.44850962,11.62,0.499,TM,Healthy,,D009A,0.499,Healthy,Good,None,D09,original,False
412,109.23167896,-0.44727662,11.61,0.533,TM,Healthy,,D009A,0.533,Healthy,Good,None,D09,original,False
